n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
15,0,635,15,0,0,0,0,0.0628253,2.7908,0.00151549
15,0,737,15,0,0,0,0,0.0676898,2.7908,0.00151549
15,0,785,15,0,0,0,0,0.069862,2.7908,0.00151549
15,0,345,14,0,0,0,0,0.046286,1.94472,0.00151549
15,0,687,15,0,0,0,0,0.0653504,2.7908,0.00151549
15,0,339,13,0,0,0,0,0.045881,1.94472,0.00151549
15,0,675,14,0,0,0,0,0.0647764,2.7908,0.00151549
15,0,365,13,0,0,0,0,0.0476111,1.94472,0.00151549
15,0,425,15,0,0,0,0,0.0513822,1.94472,0.00151549
15,0,651,15,0,0,0,0,0.0636129,2.7908,0.00151549
15,0,511,11,0,0,0,0,0.0563496,1.94472,0.00151549
15,0,421,15,0,0,0,0,0.0511394,1.94472,0.00151549
15,0,525,15,0,0,0,0,0.0571175,2.7908,0.00151549
15,0,381,15,0,0,0,0,0.0486453,1.94472,0.00151549
15,0,177,12,0,0,0,0,0.0330855,1.34503,0.00151549
15,0,553,14,0,0,0,0,0.058623,2.7908,0.00151549
15,0,271,11,0,0,0,0,0.0409585,1.94213,0.00151549
15,0,553,15,0,0,0,0,0.058623,2.7908,0.00151549
15,0,705,15,0,0,0,0,0.0662021,2.7908,0.00151549
15,0,451,13,0,0,0,0,0.0529331,1.94472,0.00151549
15,0,667,13,0,0,0,0,0.0643909,2.7908,0.00151549
16,0,423,15,0,0,0,0,0.0529448,2.14274,0.00214323
16,0,503,14,0,0,0,0,0.0577424,2.14274,0.00214323
16,0,1895,16,0,0,0,0,0.112306,4.39949,0.00214323
16,0,715,16,0,0,0,0,0.0688599,3.07485,0.00214323
16,0,691,15,0,0,0,0,0.0676929,3.07485,0.00214323
16,0,235,12,0,0,0,0,0.0393888,1.48204,0.00214323
16,0,965,16,0,0,0,0,0.080118,3.07895,0.00214323
16,0,953,15,0,0,0,0,0.0796177,3.07895,0.00214323
16,0,917,16,0,0,0,0,0.0780978,3.07895,0.00214323
16,0,521,15,0,0,0,0,0.058768,3.07485,0.00214323
16,0,971,16,0,0,0,0,0.0803669,3.07895,0.00214323
16,0,341,12,0,0,0,0,0.0475283,2.14274,0.00214323
16,0,685,16,0,0,0,0,0.067398,3.07485,0.00214323
16,0,1173,15,0,0,0,0,0.0883401,4.39949,0.00214323
16,0,779,14,0,0,0,0,0.0718794,3.07485,0.00214323
16,0,653,16,0,0,0,0,0.0658029,3.07485,0.00214323
16,0,1023,15,0,0,0,0,0.082493,3.07895,0.00214323
16,0,805,15,0,0,0,0,0.0730705,3.07485,0.00214323
16,0,791,15,0,0,0,0,0.0724315,3.07485,0.00214323
16,0,689,15,0,0,0,0,0.0675947,3.07485,0.00214323
16,0,957,15,0,0,0,0,0.0797848,3.07895,0.00214323
16,0,293,11,0,0,0,0,0.0440502,2.14274,0.00214323
16,0,489,15,0,0,0,0,0.056932,2.14274,0.00214323
16,0,1081,15,0,0,0,0,0.0848017,4.39949,0.00214323
16,0,397,14,0,0,0,0,0.0512893,2.14274,0.00214323
16,0,285,12,0,0,0,0,0.0434436,2.14274,0.00214323
16,0,719,15,0,0,0,0,0.0690524,3.07485,0.00214323
16,0,715,16,0,0,0,0,0.0688599,3.07485,0.00214323
16,0,807,16,0,0,0,0,0.0731613,3.07485,0.00214323
16,0,721,16,0,0,0,0,0.0691485,3.07485,0.00214323
17,0,951,16,0,0,0,0,0.0837311,3.4443,0.00326414
17,0,311,14,0,0,0,0,0.0477832,2.39713,0.00326414
17,0,705,16,0,0,0,0,0.0719866,3.43981,0.00326414
17,0,1303,17,0,0,0,0,0.0980245,4.9214,0.00326414
17,0,701,15,0,0,0,0,0.0717819,3.43981,0.00326414
17,0,693,17,0,0,0,0,0.0713706,3.43981,0.00326414
17,0,619,13,0,0,0,0,0.0674478,3.43981,0.00326414
17,0,791,17,0,0,0,0,0.0762561,3.43981,0.00326414
17,0,769,14,0,0,0,0,0.075187,3.43981,0.00326414
17,0,1065,16,0,0,0,0,0.0886127,4.9214,0.00326414
17,0,945,16,0,0,0,0,0.0834663,3.4443,0.00326414
17,0,1409,14,0,0,0,0,0.101937,4.9214,0.00326414
17,0,865,15,0,0,0,0,0.0798514,3.4443,0.00326414
17,0,1245,17,0,0,0,0,0.095816,4.9214,0.00326414
17,0,495,15,0,0,0,0,0.0603058,2.39713,0.00326414
17,0,531,15,0,0,0,0,0.0624634,3.43981,0.00326414
17,0,851,14,0,0,0,0,0.0792019,3.4443,0.00326414
17,0,395,15,0,0,0,0,0.0538618,2.39713,0.00326414
17,0,819,15,0,0,0,0,0.0776969,3.4443,0.00326414
17,0,987,17,0,0,0,0,0.0853028,3.4443,0.00326414
17,0,735,15,0,0,0,0,0.0735041,3.43981,0.00326414
17,0,1143,17,0,0,0,0,0.0918035,4.9214,0.00326414
17,0,471,17,0,0,0,0,0.0588236,2.39713,0.00326414
17,0,839,17,0,0,0,0,0.0786409,3.4443,0.00326414
17,0,1135,15,0,0,0,0,0.0914814,4.9214,0.00326414
17,0,317,13,0,0,0,0,0.0482427,2.39713,0.00326414
17,0,681,16,0,0,0,0,0.0707492,3.43981,0.00326414
17,0,1121,16,0,0,0,0,0.0909149,4.9214,0.00326414
17,0,685,16,0,0,0,0,0.070957,3.43981,0.00326414
17,0,491,15,0,0,0,0,0.0600613,2.39713,0.00326414
18,0,1165,15,0,0,0,0,0.0953732,5.3624,0.00461619
18,0,865,17,0,0,0,0,0.082169,3.75302,0.00461619
18,0,569,17,0,0,0,0,0.06654,3.74813,0.00461619
18,0,595,17,0,0,0,0,0.0680452,3.74813,0.00461619
18,0,1223,18,0,0,0,0,0.0977206,5.3624,0.00461619
18,0,1323,16,0,0,0,0,0.101641,5.3624,0.00461619
18,0,911,16,0,0,0,0,0.0843278,3.75302,0.00461619
18,0,881,18,0,0,0,0,0.0829262,3.75302,0.00461619
18,0,1087,15,0,0,0,0,0.0921222,5.3624,0.00461619
18,0,785,18,0,0,0,0,0.078273,3.75302,0.00461619
18,0,895,17,0,0,0,0,0.0835832,3.75302,0.00461619
18,0,2127,18,0,0,0,0,0.128899,7.63906,0.00461619
18,0,1605,16,0,0,0,0,0.111959,5.3624,0.00461619
18,0,1195,18,0,0,0,0,0.0965945,5.3624,0.00461619
18,0,1165,18,0,0,0,0,0.0953732,5.3624,0.00461619
18,0,779,18,0,0,0,0,0.0779729,3.75302,0.00461619
18,0,1031,18,0,0,0,0,0.0897155,5.3624,0.00461619
18,0,1363,15,0,0,0,0,0.103167,5.3624,0.00461619
18,0,1285,18,0,0,0,0,0.100169,5.3624,0.00461619
18,0,667,17,0,0,0,0,0.0720498,3.74813,0.00461619
18,0,595,13,0,0,0,0,0.0680452,3.74813,0.00461619
18,0,967,17,0,0,0,0,0.0868836,3.75302,0.00461619
18,0,955,16,0,0,0,0,0.0863423,3.75302,0.00461619
18,0,897,16,0,0,0,0,0.0836767,3.75302,0.00461619
18,0,1019,18,0,0,0,0,0.0891914,3.75302,0.00461619
18,0,773,18,0,0,0,0,0.0776717,3.75302,0.00461619
18,0,1941,18,0,0,0,0,0.12313,5.3624,0.00461619
18,0,1433,17,0,0,0,0,0.105785,5.3624,0.00461619
18,0,1033,15,0,0,0,0,0.0898026,5.3624,0.00461619
18,0,511,16,0,0,0,0,0.063053,2.61206,0.00461619
19,0,277,14,0,0,0,0,0.0476744,2.83307,0.00652828
19,0,717,17,0,0,0,0,0.0767541,4.06516,0.00652828
19,0,2365,17,0,0,0,0,0.139651,8.28489,0.00652828
19,0,1283,17,0,0,0,0,0.102836,5.81586,0.00652828
19,0,1805,19,0,0,0,0,0.121991,5.81586,0.00652828
19,0,1369,18,0,0,0,0,0.10623,5.81586,0.00652828
19,0,1095,18,0,0,0,0,0.0949969,5.81586,0.00652828
19,0,1195,18,0,0,0,0,0.0992438,5.81586,0.00652828
19,0,2121,19,0,0,0,0,0.132247,8.28489,0.00652828
19,0,1597,19,0,0,0,0,0.114742,5.81586,0.00652828
19,0,1413,18,0,0,0,0,0.107925,5.81586,0.00652828
19,0,933,18,0,0,0,0,0.0876819,4.07047,0.00652828
19,0,1371,14,0,0,0,0,0.106307,5.81586,0.00652828
19,0,2327,19,0,0,0,0,0.138524,8.28489,0.00652828
19,0,1523,18,0,0,0,0,0.11205,5.81586,0.00652828
19,0,1395,19,0,0,0,0,0.107235,5.81586,0.00652828
19,0,847,18,0,0,0,0,0.0835391,4.07047,0.00652828
19,0,433,13,0,0,0,0,0.0596274,2.83307,0.00652828
19,0,1973,18,0,0,0,0,0.127546,5.81586,0.00652828
19,0,1025,16,0,0,0,0,0.0919075,5.81586,0.00652828
19,0,1947,18,0,0,0,0,0.126702,5.81586,0.00652828
19,0,1795,19,0,0,0,0,0.121653,5.81586,0.00652828
19,0,767,16,0,0,0,0,0.0794919,4.07047,0.00652828
19,0,1069,16,0,0,0,0,0.0938613,5.81586,0.00652828
19,0,993,17,0,0,0,0,0.0904601,4.07047,0.00652828
19,0,1917,19,0,0,0,0,0.125722,5.81586,0.00652828
19,0,1449,17,0,0,0,0,0.109292,5.81586,0.00652828
19,0,1267,18,0,0,0,0,0.102192,5.81586,0.00652828
19,0,1895,19,0,0,0,0,0.124998,5.81586,0.00652828
19,0,849,19,0,0,0,0,0.0836377,4.07047,0.00652828
20,0,933,17,0,0,0,0,0.089962,4.3964,0.00923238
20,0,303,16,0,0,0,0,0.0511632,3.06,0.00923238
20,0,1763,18,0,0,0,0,0.123697,6.28143,0.00923238
20,0,2155,19,0,0,0,0,0.136768,8.94798,0.00923238
20,0,2447,19,0,0,0,0,0.145936,8.95964,0.00923238
20,0,807,19,0,0,0,0,0.0836611,4.3964,0.00923238
20,0,1817,18,0,0,0,0,0.125578,6.28143,0.00923238
20,0,897,19,0,0,0,0,0.0882076,4.3964,0.00923238
20,0,2375,19,0,0,0,0,0.143772,8.95964,0.00923238
20,0,1429,20,0,0,0,0,0.111356,6.28143,0.00923238
