n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
17,0,927,17,4,4,676,17,0.0826667,3.4443,0.000130396
17,0,855,17,2,2,659,17,0.079388,3.4443,0.000187852
17,0,415,17,1,1,362,17,0.0552107,2.39713,0.000276654
17,0,529,17,4,4,336,17,0.0623454,3.43981,0.000130396
17,0,963,17,13,13,248,17,0.0842583,3.4443,7.25175e-05
17,0,995,17,25,25,207,17,0.0856482,3.4443,5.30064e-05
17,0,1107,17,22,22,409,17,0.0903448,4.9214,5.62039e-05
17,0,669,17,2,2,342,17,0.0701224,3.43981,0.000187852
17,0,549,17,2,2,203,17,0.0635147,3.43981,0.000187852
17,0,523,17,2,2,146,17,0.0619904,3.43981,0.000187852
17,0,1577,17,34,34,63,17,0.107848,4.9214,4.58475e-05
17,0,863,17,1,1,269,17,0.079759,3.4443,0.000276654
17,0,1325,17,5,5,179,17,0.0988493,4.9214,0.000116218
17,0,969,17,4,4,711,17,0.0845206,3.4443,0.000130396
17,0,631,17,2,2,91,17,0.0680992,3.43981,0.000187852
17,0,795,17,4,4,540,17,0.0764489,3.43981,0.000130396
17,0,559,17,14,14,248,17,0.0640913,3.43981,7.00267e-05
17,0,1329,17,6,6,956,17,0.0989985,4.9214,0.000106137
17,0,1757,17,30,30,433,17,0.113842,4.9214,4.85077e-05
18,0,2129,18,14,14,917,18,0.12896,7.63906,9.64522e-05
18,0,1491,18,1,1,1035,18,0.107907,5.3624,0.000387175
18,0,1317,18,7,7,318,18,0.10141,5.3624,0.000136213
18,0,569,18,4,4,259,18,0.06654,3.74813,0.000181559
18,0,885,18,8,8,710,18,0.0831145,3.75302,0.000127469
18,0,1055,18,6,6,608,18,0.0907548,5.3624,0.000147464
18,0,1703,18,20,20,23,18,0.115329,5.3624,8.13562e-05
18,0,1689,18,53,53,64,18,0.114854,5.3624,5.11843e-05
18,0,1923,18,3,3,565,18,0.122558,5.3624,0.000211145
18,0,923,18,6,6,115,18,0.0848819,3.75302,0.000147464
18,0,1319,18,20,20,147,18,0.101487,5.3624,8.13562e-05
18,0,1377,18,6,6,120,18,0.103696,5.3624,0.000147464
18,0,1019,18,2,2,208,18,0.0891914,3.75302,0.000262319
18,0,1225,18,5,5,806,18,0.0978005,5.3624,0.000161689
18,0,1461,18,4,4,447,18,0.106815,5.3624,0.000181559
18,0,1103,18,8,8,159,18,0.0927983,5.3624,0.000127469
18,0,1009,18,13,13,268,18,0.0887523,3.75302,0.00010027
18,0,1003,18,4,4,270,18,0.0884877,3.75302,0.000181559
18,0,1987,18,5,5,50,18,0.124582,5.3624,0.000161689
18,0,1083,18,9,9,324,18,0.0919524,5.3624,0.000120275
18,0,1237,18,12,12,357,18,0.0982788,5.3624,0.000104229
18,0,1573,18,12,13,428,18,0.110837,5.3624,0.00010027
18,0,1873,18,9,9,413,18,0.120953,5.3624,0.000120275
18,0,873,18,8,8,57,18,0.0825485,3.75302,0.000127469
18,0,2205,18,54,103,76,18,0.131243,7.63906,3.76462e-05
18,0,1259,18,6,6,441,18,0.0991497,5.3624,0.000147464
18,0,1675,18,6,6,1313,18,0.114376,5.3624,0.000147464
18,0,1351,18,8,8,365,18,0.102712,5.3624,0.000127469
18,0,895,18,5,5,315,18,0.0835832,3.75302,0.000161689
18,0,2623,18,112,112,23,18,0.143338,7.64902,3.63052e-05
19,0,1225,19,8,8,605,19,0.100483,5.81586,0.000177553
19,0,2137,19,5,5,1139,19,0.132745,8.28489,0.000225736
19,0,2359,19,1,1,731,19,0.139474,8.28489,0.000543167
19,0,1339,19,1,1,308,19,0.105058,5.81586,0.000543167
19,0,2283,19,18,18,753,19,0.137207,8.28489,0.000118567
19,0,1463,19,2,2,337,19,0.109819,5.81586,0.000367351
19,0,2201,19,8,8,174,19,0.134719,8.28489,0.000177553
19,0,1037,19,3,5,192,19,0.0924444,5.81586,0.000225736
19,0,2817,19,71,71,1023,19,0.15262,8.2957,6.13082e-05
19,0,1683,19,45,49,79,19,0.117794,5.81586,7.30395e-05
19,0,813,19,18,19,290,19,0.0818434,4.07047,0.000115507
19,0,1447,19,11,11,983,19,0.109217,5.81586,0.000151222
19,0,1477,19,2,2,1120,19,0.110344,5.81586,0.000367351
19,0,1713,19,42,42,146,19,0.118839,5.81586,7.84816e-05
19,0,1031,19,2,2,756,19,0.0921763,5.81586,0.000367351
19,0,1951,19,38,38,391,19,0.126833,5.81586,8.25488e-05
19,0,2039,19,12,12,239,19,0.129663,5.81586,0.000144863
19,0,1083,19,8,8,54,19,0.0944744,5.81586,0.000177553
19,0,1205,19,1,1,684,19,0.0996585,5.81586,0.000543167
19,0,751,19,20,20,358,19,0.0786575,4.07047,0.000112387
19,0,2699,19,3,3,750,19,0.149388,8.2957,0.000295277
19,0,1063,19,8,8,35,19,0.0935972,5.81586,0.000177553
19,0,1415,19,3,3,478,19,0.108001,5.81586,0.000295277
19,0,1239,19,8,8,203,19,0.101056,5.81586,0.000177553
19,0,1395,19,1,1,495,19,0.107235,5.81586,0.000543167
19,0,1659,19,10,10,412,19,0.11695,5.81586,0.00015854
19,0,1815,19,7,7,913,19,0.122329,5.81586,0.000189899
19,0,2743,19,33,33,1189,19,0.150601,8.2957,8.82162e-05
19,0,1875,19,44,44,63,19,0.124336,5.81586,7.67931e-05
19,0,1067,19,12,12,37,19,0.0937733,5.81586,0.000144863
20,0,2019,20,3,3,1291,20,0.13238,6.28143,0.00041399
20,0,2391,20,22,32,348,19,0.144255,8.95964,0.000124249
20,0,2409,20,17,17,114,20,0.144798,8.95964,0.000169763
20,0,2943,20,1,1,489,20,0.160053,8.95964,0.000763463
20,0,4951,20,33,33,33,20,0.20762,12.7364,0.000122422
20,0,3149,20,1,1,501,20,0.165563,8.95964,0.000763463
20,0,1789,20,21,21,899,20,0.124606,6.28143,0.000152758
20,0,2731,20,10,10,509,20,0.154177,8.95964,0.000221401
20,0,1251,20,2,3,302,19,0.104185,6.28143,0.00041399
20,0,2235,20,6,6,43,20,0.139285,8.94798,0.000287692
20,0,1533,20,91,91,589,20,0.11534,6.28143,7.51399e-05
20,0,2885,20,18,18,1493,20,0.158467,8.95964,0.000165057
20,0,1169,20,8,8,882,20,0.100709,6.28143,0.00024813
20,0,1827,20,2,2,960,20,0.125924,6.28143,0.000515609
20,0,1535,20,64,64,664,20,0.115416,6.28143,8.88587e-05
20,0,2073,20,7,7,127,20,0.134139,8.94798,0.000265568
20,0,2705,20,34,34,1612,20,0.153441,8.95964,0.000120678
20,0,2597,20,20,20,352,20,0.150345,8.95964,0.00015645
20,0,1669,20,2,2,520,20,0.120352,6.28143,0.000515609
20,0,2771,20,34,34,73,20,0.155303,8.95964,0.000120678
20,0,2459,20,50,50,886,20,0.146293,8.95964,0.000100136
20,0,1963,20,1,1,483,20,0.13053,6.28143,0.000763463
20,0,3491,20,35,35,150,20,0.174326,8.95964,0.00011901
20,0,1977,20,4,4,125,20,0.130995,6.28143,0.000355348
20,0,1481,20,18,18,481,20,0.113366,6.28143,0.000165057
20,0,1559,20,6,6,108,20,0.116315,6.28143,0.000287692
20,0,4279,20,115,115,2066,20,0.19301,12.7364,6.74636e-05
20,0,1541,20,4,4,1451,20,0.115641,6.28143,0.000355348
20,0,1875,20,8,8,486,20,0.127568,6.28143,0.00024813
20,0,3097,20,93,93,305,20,0.164189,8.95964,7.43875e-05
21,0,3505,21,6,6,3074,21,0.178991,9.64043,0.000403454
21,0,1913,21,8,8,29,21,0.13204,6.75881,0.000347688
21,0,4109,21,28,28,665,21,0.193808,13.704,0.000184833
21,0,5135,21,22,22,71,21,0.216668,13.704,0.000208451
21,0,2727,21,35,35,88,21,0.157871,9.64043,0.000165734
21,0,4729,21,89,129,1799,21,0.207923,13.704,8.80892e-05
21,0,1389,21,2,2,1042,21,0.112499,6.75881,0.000724998
21,0,3085,21,34,34,222,21,0.16792,9.64043,0.000168091
21,0,2697,21,4,4,1821,21,0.157,9.64043,0.000498902
21,0,2323,21,1,1,556,21,0.145701,9.64043,0.00107431
21,0,1951,21,17,28,486,21,0.133345,6.75881,0.000184833
21,0,2097,21,6,6,1128,21,0.138248,9.62788,0.000403454
21,0,2577,21,10,10,485,21,0.153465,9.64043,0.00031005
21,0,3793,21,47,47,497,21,0.186203,9.64043,0.000143395
21,0,2347,21,5,5,672,21,0.146453,9.64043,0.000443524
21,0,2995,21,7,7,2091,21,0.165451,9.64043,0.000372326
21,0,2597,21,2,2,961,21,0.15406,9.64043,0.000724998
21,0,2095,21,4,6,659,20,0.138182,9.62788,0.000403454
21,0,2371,21,8,8,63,21,0.1472,9.64043,0.000347688
21,0,1637,21,5,5,1365,21,0.122137,6.75881,0.000443524
21,0,7717,21,60,60,1570,21,0.265979,13.7218,0.000127233
21,0,3443,21,9,9,1655,21,0.1774,9.64043,0.000327107
21,0,2097,21,48,48,844,21,0.138248,9.62788,0.000141946
21,0,2545,21,6,6,339,21,0.152509,9.64043,0.000403454
21,0,1821,21,7,7,149,21,0.128823,6.75881,0.000372326
21,0,1621,21,1,1,359,21,0.121538,6.75881,0.00107431
21,0,3599,21,3,3,599,21,0.181377,9.64043,0.000581274
21,0,4597,21,2,2,3931,21,0.204999,13.704,0.000724998
21,0,1191,21,6,8,34,21,0.104166,6.75881,0.000347688
21,0,2713,21,5,5,978,21,0.157465,9.64043,0.000443524
22,0,1855,22,3,3,1022,22,0.133083,7.24772,0.000818048
22,0,3315,22,2,2,2364,22,0.178168,10.3376,0.00102049
22,0,3259,22,4,4,1014,22,0.176656,10.3376,0.000701655
